accession,gene,length,protein_name
A1KZ92,PXDNL,1463,Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2)
A1L0T0,HACL2,632,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein)
A1L167,UBE2QL1,161,Ubiquitin-conjugating enzyme E2Q-like protein 1 (EC 2.3.2.23) (E2Q-like ubiquitin-conjugating enzyme 1)
A1L190,SYCE3,88,Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)
A1L390,PLEKHG3,1219,Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)
A1L3X0,ELOVL7,281,Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)
A1L4H1,SSC5D,1573,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)
A1L4K1,FSD2,749,Fibronectin type III and SPRY domain-containing protein 2 (SPRY domain-containing protein 1)
A1X283,SH3PXD2B,911,SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)
A1XBS5,CIBAR1,289,CBY1-interacting BAR domain-containing protein 1
A1Z1Q3,MACROD2,425,ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)
A2A288,ZC3H12D,527,Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34)
A2A2Y4,FRMD3,597,FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)
A2IDD5,CCDC78,438,Coiled-coil domain-containing protein 78 (hsCCDC78)
A2PYH4,HFM1,1435,Probable ATP-dependent DNA helicase HFM1 (EC 5.6.2.4) (DNA 3'-5' helicase HFM1) (SEC63 domain-containing protein 1)
A2RRP1,NBAS,2371,NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)
A2RTX5,TARS3,802,"Threonine--tRNA ligase 2, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)"
A2RU14,TMEM218,115,Transmembrane protein 218
A2RU30,TESPA1,521,Protein TESPA1 (Thymocyte-expressed positive selection-associated protein 1)
A2RU49,HYKK,373,Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1)
A2RUB1,MEIOC,952,Meiosis-specific coiled-coil domain-containing protein MEIOC (Meiosis-specific with coiled-coil domain protein)
A2RUB6,CCDC66,948,Coiled-coil domain-containing protein 66
A2RUC4,TYW5,315,tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)
A2RUH7,MYBPHL,354,Myosin-binding protein H-like
A2VDJ0,TMEM131L,1609,Transmembrane protein 131-like
A2VEC9,SSPOP,5150,SCO-spondin (SCO-spondin pseudogene)
A3KMH1,VWA8,1905,von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2)
A3KN83,SBNO1,1393,Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3)
A4D0S4,LAMB4,1761,Laminin subunit beta-4 (Laminin beta-1-related protein)
A4D126,CRPPA,451,D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD)
A4D161,FAM221A,298,Protein FAM221A
A4D1B5,GSAP,854,Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)]
A4D1E9,GTPBP10,387,GTP-binding protein 10 (Protein obg homolog 2) (ObgH2)
A4D1P6,WDR91,747,WD repeat-containing protein 91
A4D1S5,RAB19,217,Ras-related protein Rab-19 (EC 3.6.5.2)
A4D1T9,PRSS37,235,Probable inactive serine protease 37 (Probable inactive trypsin-X2)
A4D256,CDC14C,447,Dual specificity protein phosphatase CDC14C (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog C)
A4D2B0,MBLAC1,266,Metallo-beta-lactamase domain-containing protein 1 (EC 3.1.27.-) (Endoribonuclease MBLAC1)
A4D2B8,PMS2P1,440,Putative postmeiotic segregation increased 2-like protein 1 (PMS2-related protein 2) (Postmeiotic segregation increased 2-like protein 13) (Postmeiotic segregation increased 2-like protein 6) (Postmeiotic segregation increased 2-like protein 8) (Postmeiotic segregation increased protein 3) (hPMS3) (Postmeiotic segregation increased protein 8) (Putative postmeiotic segregation increased 2 pseudogene 1)
A4GXA9,EME2,379,Structure-specific endonuclease subunit EME2 (Essential meiotic structure-specific endonuclease subunit 2)
A4UGR9,XIRP2,3374,Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)
A5A3E0,POTEF,1075,POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)
A5D8T8,CLEC18A,446,C-type lectin domain family 18 member A (Mannose receptor-like protein 2)
A5D8V6,VPS37C,355,Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C)
A5D8V7,ODAD3,595,Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151)
A5D8W1,CFAP69,941,Cilia- and flagella-associated protein 69
A5LHX3,PSMB11,300,Proteasome subunit beta type-11 (EC 3.4.25.1) (Proteasome subunit beta-5t)
A5PKW4,PSD,1024,PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1)
A5PLL7,PEDS1,270,Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)
A5X5Y0,HTR3E,456,5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E)
A5YKK6,CNOT1,2376,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)
A5YM72,CARNS1,827,Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)
A6BM72,MEGF11,1044,Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)
A6H8Y1,BDP1,2624,Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator)
A6H8Z2,FAM221B,402,Protein FAM221B
A6NC98,CCDC88B,1476,Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3)
A6NCS4,NKX2-6,301,Homeobox protein Nkx-2.6 (Homeobox protein NK-2 homolog F)
A6ND01,IZUMO1R,250,Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta) (FR-delta) (IZUMO1 receptor protein JUNO)
A6ND36,FAM83G,823,Protein FAM83G (Protein associated with SMAD1)
A6NDB9,PALM3,673,Paralemmin-3
A6NDE4,RBMY1B,496,"RNA-binding motif protein, Y chromosome, family 1 member B"
A6NDG6,PGP,321,Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)
A6NDV4,TMEM8B,472,Transmembrane protein 8B (Nasopharyngeal carcinoma-associated gene 6 protein) (Protein NAG-5) (Protein NGX6)
A6NED2,RCCD1,376,RCC1 domain-containing protein 1
A6NEM1,GOLGA6L9,432,Golgin subfamily A member 6-like protein 9
A6NFA1,TRABD2B,517,"Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)"
A6NFQ2,TCAF2,919,TRPM8 channel-associated factor 2 (TRP channel-associated factor 2)
A6NFX1,MFSD2B,504,Sphingosine-1-phosphate transporter MFSD2B (Major facilitator superfamily domain-containing protein 2B) (hMfsd2b)
A6NFY7,SDHAF1,115,"Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)"
A6NGG8,PCARE,1288,Photoreceptor cilium actin regulator
A6NGQ2,OOEP,149,Oocyte-expressed protein homolog (KH homology domain-containing protein 2) (Oocyte- and embryo-specific protein 19) (hOEP19)
A6NGU5,GGT3P,568,Putative glutathione hydrolase 3 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 3) (Putative gamma-glutamyltranspeptidase 3) (GGT 3) (EC 2.3.2.2) [Cleaved into: Putative glutathione hydrolase 3 heavy chain; Putative glutathione hydrolase 3 light chain]
A6NHL2,TUBAL3,446,Tubulin alpha chain-like 3 (EC 3.6.5.-)
A6NHQ2,FBLL1,334,RNA 2'-O-methyltransferase FBLL1 (EC 2.1.1.-) (Fibrillarin like 1)
A6NHR9,SMCHD1,2005,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)
A6NHX0,CASTOR2,329,Cytosolic arginine sensor for mTORC1 subunit 2 (Cellular arginine sensor for mTORC1 protein 2) (GATS-like protein 2)
A6NI15,MSGN1,193,Mesogenin-1 (Paraxial mesoderm-specific mesogenin1) (pMesogenin1) (pMsgn1)
A6NI61,MYMK,221,Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C)
A6NI73,LILRA5,299,Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f)
A6NIH7,UNC119B,251,Protein unc-119 homolog B
A6NIM6,SLC15A5,579,Solute carrier family 15 member 5
A6NIX2,WTIP,430,Wilms tumor protein 1-interacting protein (WT1-interacting protein)
A6NJ46,NKX6-3,265,Homeobox protein Nkx-6.3
A6NJ78,METTL15,407,12S rRNA N(4)-cytidine methyltransferase METTL15 (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)
A6NK06,ACOD1,481,Cis-aconitate decarboxylase (CAD) (EC 4.1.1.6) (Aconitate decarboxylase) (Aconitate decarboxylase 1) (Cis-aconitic acid decarboxylase) (Immune-responsive gene 1 protein)
A6NK58,LIPT2,231,"Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Lipoyltransferase 2) (EC 2.3.1.181) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)"
A6NK89,RASSF10,507,Ras association domain-containing protein 10
A6NKB5,PCNX2,2137,Pecanex-like protein 2 (Pecanex homolog protein 2)
A6NKF2,ARID3C,412,AT-rich interactive domain-containing protein 3C (ARID domain-containing protein 3C)
A6NMY6,ANXA2P2,339,Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene)
A6NMZ7,COL6A6,2263,Collagen alpha-6(VI) chain
A6NNB3,IFITM5,132,Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein) (BRIL) (Dispanin subfamily A member 1) (DSPA1)
A6NNM8,TTLL13,815,Tubulin polyglutamylase TTLL13 (EC 6.3.2.-) (Tubulin tyrosine ligase like 13) (Tubulin tyrosine ligase-like family member 13 pseudogene) (Tubulin--tyrosine ligase-like protein 13)
A6NNN8,SLC38A8,435,Solute carrier family 38 member 8 (Amino acid transporter SLC38A8)
A6NNY8,USP27X,438,Ubiquitin carboxyl-terminal hydrolase 27 (EC 3.4.19.12) (Deubiquitinating enzyme 27) (Ubiquitin carboxyl-terminal hydrolase 22-like) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27) (X-linked ubiquitin carboxyl-terminal hydrolase 27)
A6NNZ2,TUBB8B,444,Tubulin beta 8B
A6PVC2,TTLL8,850,Protein monoglycylase TTLL8 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 8)
A6QL63,ABTB3,1104,Ankyrin repeat- and BTB/POZ domain-containing protein 3 (BTB/POZ domain-containing protein 11)
A7E2V4,ZSWIM8,1837,Zinc finger SWIM domain-containing protein 8
A7E2Y1,MYH7B,1983,"Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)"
A7KAX9,ARHGAP32,2087,Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)
A7MCY6,TBKBP1,615,TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)
A7MD48,SRRM4,611,Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100)
A7XYQ1,SOBP,873,Sine oculis-binding protein homolog (Jackson circler protein 1)
A8CG34,POM121C,1229,Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C)
A8K0Z3,WASHC1,465,WASH complex subunit 1 (CXYorf1-like protein on chromosome 9) (Protein FAM39E) (WAS protein family homolog 1)
A8K2U0,A2ML1,1454,Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)
A8K4G0,CD300LB,201,CMRF35-like molecule 7 (CLM-7) (CD300 antigen-like family member B) (CMRF35-A2) (Immune receptor expressed on myeloid cells 3) (IREM-3) (Leukocyte mono-Ig-like receptor 5) (Triggering receptor expressed on myeloid cells 5) (TREM-5) (CD antigen CD300b)
A8K7I4,CLCA1,914,Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1)
A8K830,POU2AF3,251,POU class 2 homeobox associating factor 3 (Cancer susceptibility candidate protein 13) (Colorectal cancer-associated protein 2) (Protein OCA-T2)
A8K8P3,SFI1,1242,Protein SFI1 homolog (hSFI1)
A8K8V0,ZNF785,405,Zinc finger protein 785
A8MPY1,GABRR3,467,Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABAAR subunit rho-3) (GABA(C) receptor)
A8MQ03,CYSRT1,144,Cysteine-rich tail protein 1
A8MQ27,NEURL1B,555,E3 ubiquitin-protein ligase NEURL1B (EC 2.3.2.27) (Neuralized-2) (NEUR2) (Neuralized-like protein 1B) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL1B)
A8MT69,CENPX,81,Centromere protein X (CENP-X) (FANCM-associated histone fold protein 2) (FANCM-interacting histone fold protein 2) (Fanconi anemia-associated polypeptide of 10 kDa) (Retinoic acid-inducible gene D9 protein homolog) (Stimulated by retinoic acid gene 13 protein homolog)
A8MTA8,CIMIP2B,275,Ciliary microtubule inner protein 2B
A8MTJ3,GNAT3,354,Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain)
A8MTJ6,FOXI3,420,Forkhead box protein I3
A8MTQ0,NOTO,251,Homeobox protein notochord
A8MTZ0,BBIP1,92,BBSome-interacting protein 1 (BBSome-interacting protein of 10 kDa)
A8MU46,SMTNL1,494,Smoothelin-like protein 1
A8MUP2,CSKMT,240,"Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial (CS-KMT) (EC 2.1.1.-) (Methyltransferase-like protein 12, mitochondrial)"
A8MV65,VGLL3,326,Transcription cofactor vestigial-like protein 3 (Vgl-3)
A8MVW5,HEPACAM2,462,HEPACAM family member 2 (Mitotic kinetics regulator)
A8MW92,PHF20L1,1017,PHD finger protein 20-like protein 1
A8MW95,BECN2,431,Beclin-2 (Beclin-1 autophagy-related pseudogene 1) (Beclin-1-like protein 1)
A8MW99,MEI4,385,Meiosis-specific protein MEI4
A8MXD5,GRXCR1,290,Glutaredoxin domain-containing cysteine-rich protein 1
A8MXV4,NUDT19,375,Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19)
A8MYU2,KCNU1,1149,"Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)"
A8MZ59,LEUTX,198,Paired-like homeodomain transcription factor LEUTX (Leucine-twenty homeobox) (Paired-like homeobox transcription factor LEUTX) (PRD-LIKE homeobox transcription factor LEUTX)
A8TX70,COL6A5,2615,Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)
A9QM74,KPNA7,516,Importin subunit alpha-8 (Karyopherin subunit alpha-7)
A9UHW6,MIF4GD,222,MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)
A9YTQ3,AHRR,697,Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR) (Class E basic helix-loop-helix protein 77) (bHLHe77)
B0I1T2,MYO1G,1018,Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)]
B0L3A2,FBXW7-AS1,85,Dual endothelin-1/VEGF signal peptide receptor (DEspR protein) (Dual endothelin-1/VEGFsp receptor) (FBXW7 antisense RNA 1)
B0YJ81,HACD1,288,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A)
B1AK53,ESPN,854,Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)
B2RPK0,HMGB1P1,211,High mobility group protein B1-like 1 (High mobility group protein 1-like 1) (HMG-1L1)
B2RTY4,MYO9A,2548,Unconventional myosin-IXa (Unconventional myosin-9a)
B2RUY7,VWC2L,222,von Willebrand factor C domain-containing protein 2-like (VWC2-like protein) (Brorin-like)
B2RUZ4,SMIM1,78,Small integral membrane protein 1 (Vel blood group antigen)
B2RXF5,ZBTB42,422,Zinc finger and BTB domain-containing protein 42
B2RXH2,KDM4E,506,Lysine-specific demethylase 4E (EC 1.14.11.-) (EC 1.14.11.66) (KDM4D-like protein) (Lysine-specific demethylase 4D-like) ([histone H3]-trimethyl-L-lysine(9) demethylase 4E)
B3KU38,IQCJ-SCHIP1,563,IQCJ-SCHIP1 readthrough transcript protein
B6A8C7,TARM1,271,"T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)"
B7U540,KCNJ18,433,"Inward rectifier potassium channel 18 (Inward rectifier K(+) channel Kir2.6) (Potassium channel, inwardly rectifying subfamily J member 18)"
B7ZAQ6,GPR89A,455,Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)
C0HME6,RPL36,148,RPL36 alternative reading frame protein (alt-RPL36)
C4AMC7,WASH3P,463,Putative WAS protein family homolog 3 (Protein FAM39DP)
C9JE40,PATL2,543,Protein PAT1 homolog 2 (PAT1-like protein 2) (Protein PAT1 homolog a) (Pat1a) (hPat1a)
C9JLW8,MCRIP1,97,Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B)
C9JR72,KBTBD13,458,Kelch repeat and BTB domain-containing protein 13
C9JRZ8,AKR1B15,316,Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)
D3W0D1,KLRF2,207,Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65)
D6RGH6,MCIDAS,385,Multicilin (Multiciliate differentiation and DNA synthesis-associated cell cycle protein) (McIdas protein) (Protein Idas)
E0CX11,STMP1,47,Short transmembrane mitochondrial protein 1
F5H094,SLCO1B3-SLCO1B7,687,SLCO1B3-SLCO1B7 readthrough transcript protein (Liver specific transporter-3 transmembrane 12) (LST-3TM12) (Organic anion transporting polypeptide 1B3-1B7) (OATP1B3-1B7) (Solute carrier organic anion transporter family member 1B3-1B7) (SLCO1B3-SLCO1B7)
G2XKQ0,SUMO1P1,101,Small ubiquitin-related modifier 5 (SUMO-5) (SUMO1 pseudogene 1) (Ubiquitin-like 2) (Ubiquitin-like 6)
H0YL14,TMEM250,139,Transmembrane protein 250 (Herpes virus UL25-binding protein)
H3BV60,TGFBR3L,292,Transforming growth factor-beta receptor type 3-like protein (TGF-beta receptor type-3-like protein) (TGFR-3L) (Transforming growth factor-beta receptor type III-like protein) (TGF-beta receptor type III-like protein)
K7EJ46,SMIM22,83,Small integral membrane protein 22 (Cancer-associated small integral membrane open reading frame 1)
K9M1U5,IFNL4,179,Interferon lambda-4 (IFN-lambda-4)
L0R8F8,MIEF1,70,Mitochondrial ribosome and complex I assembly factor AltMIEF1 (Alternative MIEF1 protein) (AltMIEF1) (MIEF1 microprotein) (MIEF1-MP) (alternative transcript upstream of MiD51) (AltMiD51)
M0R2J8,DCDC1,1783,Doublecortin domain-containing protein 1 (Doublecortin domain-containing 5 protein)
M5A8F1,ERVH48-1,160,Suppressyn (Endogenous retrovirus group 48 member 1) (NDUFV3 antisense RNA 1) (endogenous retrovirus group Fb member 1)
O00115,DNASE2,360,Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)
O00116,AGPS,658,"Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)"
O00124,UBXN8,270,UBX domain-containing protein 8 (Reproduction 8 protein) (Rep-8 protein) (UBX domain-containing protein 6)
O00139,KIF2A,706,Kinesin-like protein KIF2A (Kinesin-2) (hK2)
O00141,SGK1,431,Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)
O00142,TK2,265,"Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (2'-deoxyuridine kinase TK2) (EC 2.7.1.74) (Deoxycytidine kinase TK2) (EC 2.7.1.-) (Mt-TK)"
O00144,FZD9,591,Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349)
O00148,DDX39A,427,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)
